Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Miami Heat,56,240.4,38.5,86.9,.443,11.3,31.2,.362,27.3,55.7,.489,17.4,22.7,.764,10.1,33.7,43.8,22.8,7.8,5.0,13.9,20.6,105.7
2,Indiana Pacers,58,240.4,38.1,85.4,.446,11.3,31.9,.354,26.8,53.5,.500,15.5,20.4,.761,10.0,32.8,42.9,24.2,7.3,5.1,16.1,19.7,102.9
3,Utah Jazz,57,240.0,39.6,86.9,.456,10.0,27.8,.359,29.7,59.1,.502,16.7,22.0,.757,8.6,34.0,42.6,21.2,8.7,4.8,14.5,22.5,105.9
4,Detroit Pistons,56,242.7,40.2,85.4,.471,9.3,28.1,.332,30.9,57.3,.539,18.3,24.4,.749,8.8,34.9,43.8,24.1,7.2,5.4,14.2,22.0,108.1
5,Denver Nuggets,57,240.9,39.6,85.9,.460,11.2,32.2,.347,28.4,53.7,.528,16.8,22.2,.755,9.6,32.2,41.8,24.7,7.4,5.1,13.7,20.5,107.1
6,Milwaukee Bucks,57,240.9,39.5,91.9,.430,12.7,35.5,.357,26.9,56.4,.477,15.4,20.7,.742,9.6,34.9,44.4,24.5,6.8,4.8,14.0,20.2,107.1
7,Memphis Grizzlies,59,242.1,36.7,81.7,.450,11.3,31.2,.363,25.4,50.5,.503,19.0,24.4,.779,9.2,35.3,44.4,23.0,7.6,4.6,15.6,21.2,103.8
8,Boston Celtics,58,241.7,38.7,87.3,.443,11.3,33.3,.340,27.4,54.0,.507,17.8,23.4,.762,10.3,35.1,45.4,22.8,6.9,3.9,15.6,19.7,106.6
9,Dallas Mavericks,57,240.9,40.7,89.0,.458,10.8,31.6,.341,30.0,57.4,.522,16.5,21.4,.770,10.4,33.6,44.0,24.0,8.4,4.6,13.7,23.9,108.7
10,Oklahoma City Thunder,57,241.3,40.7,88.8,.459,10.8,31.2,.346,29.9,57.6,.519,17.9,23.7,.757,10.4,34.9,45.3,25.0,8.2,5.1,17.5,22.6,110.2
11,Portland Trail Blazers,57,241.8,41.2,90.2,.456,11.0,29.9,.367,30.2,60.3,.501,16.9,22.3,.760,10.2,33.3,43.5,23.1,7.5,5.4,12.5,20.6,110.3
12,Orlando Magic,59,241.3,39.9,87.6,.455,10.6,29.6,.356,29.3,58.0,.505,16.5,21.4,.772,9.3,36.0,45.3,23.1,6.9,4.5,13.1,19.0,106.9
13,Houston Rockets,57,242.2,41.1,86.3,.476,10.0,29.2,.342,31.1,57.1,.545,18.9,24.6,.768,10.7,34.0,44.7,23.5,7.8,4.8,14.9,20.6,111.1
14,Charlotte Hornets,57,242.2,41.8,89.3,.468,11.7,32.9,.355,30.1,56.4,.533,16.1,20.5,.785,9.9,35.7,45.5,25.7,7.1,6.3,13.6,20.8,111.3
15,Minnesota Timberwolves,57,241.3,41.2,89.0,.463,12.2,33.1,.368,29.0,56.0,.518,17.1,22.3,.768,11.1,33.8,44.9,25.5,6.5,5.5,15.1,22.1,111.7
16,Golden State Warriors,57,241.8,40.8,91.1,.448,11.7,33.4,.350,29.1,57.6,.504,18.5,24.3,.761,10.5,33.1,43.6,24.3,7.3,3.5,13.4,20.2,111.7
17,Toronto Raptors,59,242.1,40.4,89.2,.453,10.4,30.0,.347,30.0,59.2,.507,17.4,22.7,.766,10.6,33.8,44.4,24.4,7.4,4.7,15.3,20.9,108.7
18,Los Angeles Lakers,57,241.8,42.1,93.9,.448,11.7,32.8,.356,30.4,61.1,.498,17.6,22.4,.787,11.5,35.4,46.8,24.8,8.5,5.4,14.1,21.2,113.4
19,Chicago Bulls,58,241.7,41.3,88.6,.467,11.9,33.2,.357,29.5,55.4,.532,17.1,22.0,.776,10.3,36.2,46.5,25.2,7.5,5.4,13.8,18.6,111.6
20,Philadelphia 76ers,58,242.2,41.4,91.3,.453,10.3,29.7,.345,31.1,61.6,.505,19.2,24.6,.781,10.0,33.1,43.1,23.1,8.0,4.0,13.4,22.8,112.2
21,Sacramento Kings,57,240.4,41.9,90.6,.463,11.6,34.0,.341,30.3,56.5,.537,19.2,24.9,.770,11.7,36.5,48.2,24.6,8.0,5.1,16.5,21.6,114.6
22,San Antonio Spurs,59,241.7,42.1,89.6,.470,11.5,31.9,.361,30.6,57.7,.531,15.6,20.6,.757,9.2,34.5,43.7,25.3,7.6,4.4,12.5,20.3,111.4
23,Cleveland Cavaliers,58,241.3,42.9,87.3,.491,11.6,31.2,.371,31.3,56.0,.558,16.2,20.8,.775,9.6,34.6,44.2,25.4,7.1,5.6,12.5,19.5,113.5
24,New York Knicks,58,241.7,42.0,89.3,.470,11.7,32.6,.358,30.3,56.7,.535,18.2,23.9,.763,10.9,37.1,48.0,25.6,7.2,5.9,14.1,21.2,114.0
25,Brooklyn Nets,59,244.2,42.5,91.5,.465,10.2,29.2,.347,32.4,62.3,.520,17.5,22.7,.770,10.5,34.7,45.1,23.5,7.8,5.4,13.5,22.0,112.7
26,Los Angeles Clippers,59,242.1,41.7,91.5,.456,10.0,29.4,.341,31.7,62.1,.511,20.3,26.1,.776,11.5,34.3,45.7,23.9,8.4,6.0,12.9,24.1,113.8
27,New Orleans Pelicans,59,240.0,42.4,91.6,.463,12.2,33.5,.364,30.2,58.2,.520,17.8,23.6,.756,10.8,33.9,44.7,25.9,8.2,5.1,13.1,21.6,114.8
28,Washington Wizards,58,243.4,42.8,89.7,.477,12.3,32.8,.376,30.4,56.9,.535,19.0,24.2,.785,11.4,36.2,47.6,26.0,7.7,4.6,16.7,21.6,116.9
29,Phoenix Suns,59,242.5,42.3,87.3,.484,10.8,29.3,.367,31.5,57.9,.544,20.8,27.6,.755,11.4,34.9,46.3,25.9,9.1,5.1,15.8,20.1,116.1
30,Atlanta Hawks,58,240.4,42.6,89.4,.476,12.1,33.3,.363,30.5,56.1,.543,20.9,27.6,.758,10.6,34.4,45.0,27.5,10.4,5.6,15.5,22.6,118.2
,League Average,58,241.6,40.9,88.8,.461,11.2,31.5,.355,29.7,57.3,.519,17.7,23.2,.766,10.3,34.6,44.9,24.4,7.7,5.0,14.4,21.1,110.7
